Name (location),Time,Calls,% Time
Summary,2.570s,,100.0
evaluate_node_test,1.170s,77808670,45.52529
find_dt_leaf_for_inst,830.000ms,77423871,32.29572
find_node_distribution,540.000ms,20001,21.011673
assign_classes,30.000ms,,1.1673151
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
efti_close,0ns,1,0.0
efti_create,0ns,1,0.0
ensemble_size_run,0ns,1,0.0
rnd_perm,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
tree_get_sibling,0ns,1,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
efti_printf,0ns,3,0.0
delete_trimmed_subtree,0ns,7,0.0
tree_copy,0ns,24,0.0
efti_pre_malloc,0ns,25,0.0
pack_coefs,0ns,151,0.0
random_hiperplane,0ns,151,0.0
tree_delete_child,0ns,298,0.0
tree_create_child,0ns,302,0.0
tree_create,0ns,303,0.0
extract_hierarcy,0ns,307,0.0
tree_delete_node,0ns,319,0.0
_extract_hierarcy,0ns,1225,0.0
efti,0ns,20001,0.0
fitness_eval,0ns,20001,0.0
efti_rnd,0ns,113032,0.0
